Store_ID,Store_ID 1,Similarity_Score 1,Cluster 1,Store_ID 2,Similarity_Score 2,Cluster 2,Store_ID 3,Similarity_Score 3,Cluster 3,Store_ID 4,Similarity_Score 4,Cluster 4,Store_ID 5,Similarity_Score 5,Cluster 5,Store_ID 6,Similarity_Score 6,Cluster 6,Store_ID 7,Similarity_Score 7,Cluster 7,Store_ID 8,Similarity_Score 8,Cluster 8,Store_ID 9,Similarity_Score 9,Cluster 9,Store_ID 10,Similarity_Score 10,Cluster 10
A56788,A10570,1.7719404739734084,2,A55886,1.6167055656701108,2,A30385,1.559639748162531,2,A10539,1.5487425436398687,2,A12054,1.5375742481465222,2,A10546,1.5066768296065107,2,A10563,1.3811330231836734,2,A10526,1.3764394477109436,2,A23007,1.3699323153333929,2,A46051,1.3524720597460305,2
A56789,A31441,3.7451307932802815,2,A12929,3.007466516101665,2,A47770,2.514409891551274,2,A47790,2.5029002632305763,2,A16225,2.455049311618397,2,A14894,2.400559309769493,2,A47800,2.0734251938819814,2,A21261,1.8892731449429938,2,A20724,1.8624910332147915,2,A10934,1.81168804642802,2
A56790,A40025,4.14130947725351,1,A40161,1.942933639809189,1,A19856,1.785414922593197,1,A19963,1.6888833978707183,1,A16534,1.6464977891931458,1,A19660,1.610009008442534,1,A40119,1.5851795168346274,1,A39981,1.5568438385255752,1,A19701,1.518476266754751,1,A40248,1.4994472916485402,1
A56791,A22192,1.4256905437474194,0,A40082,1.3004708756855514,1,A19820,1.2973414511092616,1,A13965,1.2806503342748587,0,A16508,1.2753039950582534,2,A19731,1.2693354641411294,2,A19756,1.2671770744974202,2,A19842,1.2474550010039713,2,A16495,1.2286712071069106,3,A16501,1.1784337841011308,2
A56792,A18677,1.8015837168852433,3,A14832,1.411311167581624,3,A14834,1.319910191196163,3,A18428,1.3103408189691692,3,A46674,1.2231866698411522,3,A18368,1.2192133642073812,3,A18882,1.154736643700716,3,A14839,1.1212313139284045,3,A16349,1.1083883611410925,3,A18679,1.0942570065033657,3
A56793,A22184,1.453327479917946,3,A19849,1.4483107300431894,3,A19731,1.4266912099511042,2,A22192,1.3811562828122437,0,A16495,1.3757687944985098,3,A19863,1.3016664577952928,3,A19173,1.2536509348902767,3,A19185,1.2214104148092586,3,A13965,1.2077462053397703,0,A19135,1.1822928033011255,3
A56794,A32999,3.8962973651918884,2,A31889,2.7981917237557,2,A49802,2.575457249731513,2,A33285,2.2763657201064555,2,A35145,2.1456204124710143,2,A32761,1.9384607652056882,2,A32997,1.8767330195800067,2,A36811,1.8280782092532122,2,A31765,1.8057291651205136,2,A37971,1.6997441404608762,2
A56795,A14462,9.694136208689372,1,A37494,8.206936311708517,1,A36453,7.480024283492187,1,A14235,6.19596802273963,1,A14498,5.4401547124826655,1,A31260,4.525575647388713,1,A31243,4.386908611052427,1,A35658,4.130036983631631,1,A31245,4.053414111287367,1,A14608,3.714644541307731,1
A56796,A55104,2.6771835841561797,2,A40606,2.5809262749554027,2,A14675,2.4710498562283463,1,A55091,2.467379304689181,1,A55057,2.443520892933378,1,A31290,2.238920291259573,1,A55084,2.1916249424941463,2,A55097,2.1758294298350247,1,A40620,2.131926753851677,2,A54946,2.0761962220859593,1
A56797,A16121,0.5603190122350603,3,A16093,0.5342221503582455,3,A16077,0.5340598982335366,3,A16104,0.5180033664423808,3,A16071,0.48250476375880597,3,A16123,0.47774582147745326,3,A16078,0.43833786827336485,3,A16147,0.43689728973172687,3,A16134,0.4028931348858072,3,A16085,0.4021170170168106,3
A56798,A44622,3.5289716020992743,1,A41016,3.52768595351577,1,A10896,3.0402149010873463,1,A46785,2.8799828763691284,1,A11333,2.8387170247995166,1,A11460,2.482757164948379,1,A41021,2.4376832064048553,1,A46765,2.2508750964167894,1,A41022,2.2245738917078084,1,A41122,2.221587451747438,1
A56799,A26126,5.28283046951071,0,A24965,5.234830016534657,0,A25406,5.048386398091352,0,A25466,4.962183085858394,0,A25633,4.799466349239273,0,A25980,4.29223438566267,0,A25095,3.2756463783777394,0,A25758,3.1798191887923246,0,A26747,3.079543263233437,0,A26287,2.981146093694567,0
A56800,A11643,5.940337987433707,0,A11630,5.745405055523712,0,A15292,5.667683471137856,0,A47653,4.101756110697473,1,A28839,3.8470962897256396,0,A44974,3.824201759742016,1,A15375,3.645327348472747,0,A11583,3.6291519314549654,0,A12922,3.5270542096627406,0,A13293,3.2762040775631633,1
A56801,A39607,7.301746036855007,1,A47361,6.579629479370696,1,A42356,5.8112503164274445,1,A13473,4.594815241323015,1,A47119,4.2652155491241865,1,A21236,4.026794715652821,1,A55333,3.9655578874066397,1,A47241,3.856747542450477,1,A55362,3.7994603967302143,1,A47364,3.729837179610503,1
A56802,A41135,6.532428763911412,1,A42522,5.071358500898592,1,A43423,5.021001751408116,1,A20722,4.5438746602199345,1,A47345,4.5282579039136195,1,A41810,4.356297719070168,1,A44985,4.353060554955323,1,A40691,4.118549421409637,1,A42906,4.062358512442169,1,A40692,4.057818613361331,1
A56803,A52438,10.63729946721362,1,A53201,10.599835539263644,1,A52826,8.595616559040343,1,A53010,6.830054679343474,1,A52586,5.558878082265328,1,A51649,5.397918014523232,1,A52131,5.229878139315917,1,A53136,4.988345353784276,1,A53166,4.800350503773733,1,A51996,4.760951824369422,1
A56804,A49672,4.3695033310513045,1,A49593,4.078444913114375,1,A34525,2.9385493158059277,1,A43434,2.793392735434095,1,A15774,2.707455951791711,1,A49968,2.6594756464876044,1,A33053,2.525268647767992,2,A50900,2.409112781901867,1,A33321,2.360160753904659,1,A49407,2.31327317673291,1
A56805,A31487,4.416366636537067,2,A31695,3.8080869400273047,2,A31599,3.4541323191700184,2,A14895,3.2542156393828545,2,A48531,3.053711146138643,2,A31822,2.89340132091893,2,A31899,2.8332089027948624,2,A31438,2.8054056806695833,2,A31754,2.5226005571129786,2,A31628,2.4684839364982856,2
A56806,A11971,7.561606814370787,0,A13351,5.20414720238624,0,A12046,2.5509165810303536,1,A12047,1.939914645635451,0,A45030,1.6380231466296744,0,A55808,1.5340486326467206,0,A11964,1.4367306896612655,1,A10573,1.4124927348856688,1,A56001,1.3970639574188746,1,A30380,1.3496423176996721,1
A56807,A26301,6.93427662703221,0,A10876,6.328190334443163,0,A42227,4.640237725379562,0,A10909,4.460803128715961,0,A45403,4.291756876192607,0,A42280,3.6348115529980487,0,A45400,3.3395575368273187,0,A10910,3.2854614222381064,0,A44870,3.1628347330885633,0,A45394,2.9953624955910336,0
A56808,A47075,5.054234409760619,0,A15155,4.8019340614562696,0,A47118,2.6778475605026024,0,A15364,2.617856493076888,0,A21308,2.3668174417502468,1,A47650,2.3489308508167106,0,A45721,2.3217617889432938,0,A22850,2.278605294785803,0,A47834,2.2574997251863596,1,A15157,2.2474858468940684,0
A56809,A48751,12.588338967711357,1,A20716,9.267213575242469,1,A48680,8.138053387217827,1,A49190,4.2072325045604835,1,A13475,3.9654466262762256,1,A49537,3.7483181147048,1,A48846,3.6038367166254712,1,A39396,3.3878262782368957,1,A55622,3.378435756959602,1,A48896,3.305115869521517,1
A56810,A30401,4.621893275540322,1,A53909,2.159421699989675,1,A21566,2.046138511466409,1,A46411,1.531606384057793,1,A40799,1.3864972611655633,0,A15865,1.3818013102645572,0,A15862,1.3628758491236386,1,A30339,1.3369957947667823,1,A45039,1.3358574706334607,1,A20554,1.3286632372254015,1
A56811,A15630,5.114411911759299,0,A15816,4.123263477266285,0,A30150,3.2487000838821807,0,A15848,3.084593858529749,0,A15653,2.5745893164591416,0,A30308,2.536352486499199,0,A15664,2.2926802216465636,0,A15755,2.235106488816235,0,A15828,2.216727661704766,0,A11953,2.0554979589660207,1
